program_id,n_total,n_admit,n_reject,admit_rate_smoothed
67f86b7ffc41f55b1324de34af4613b6a85e7394,2,1,1,0.5
78e3181a9ea0a00e2d265a2323511903a61600bb,2,1,1,0.5
723eacc2fe95dd03d16ba89167ff3ee78bb87440,301,270,31,0.8722741433021807
e34c82ad0794b9aefdf204638844585baf5a8c05,65,10,55,0.23529411764705882
c729ee1ff9f428406cb409bea209bc39820aa8d5,1,1,0,0.5238095238095238
b193f55e72138d6c76dd101d0ee836a774c8dadb,4,1,3,0.4583333333333333
1a5169d39021673b6ee51815526e7987a9783431,1,1,0,0.5238095238095238
f8a501788cb581b9febeb416d04a99de7a5dd1aa,5,5,0,0.6
13ab10c703a8d5068c91f514b1457cf3fe2141e8,3,3,0,0.5652173913043478
f6cb60420603343b695be49e3b572da82e78c327,1,0,1,0.47619047619047616
b8741f187b25c82ff26accfb861804d172d82164,1,1,0,0.5238095238095238
f694de1fe8224dcb28cc0adbbac6f0ae652c9416,172,147,25,0.8177083333333334
1ed2e88dfea9bdd7a02b8cc9fb047cd50f96cc44,169,159,10,0.8941798941798942
fd764e8052610a5388459fca81528140fe671436,1,1,0,0.5238095238095238
c7076657eddd52ef5dc8fda720c9747e1837005f,1,1,0,0.5238095238095238
e6f000f92adf2474e95075978b3fc5db81dd0e7a,3,0,3,0.43478260869565216
